date,hour_range,id,demand,frequency,coal,nuclear,ccgt,wind,pumped,hydro,biomass,oil,solar,ocgt,french_ict,dutch_ict,irish_ict,ew_ict,nemo,other,north_south,scotland_england,ifa2,intelec_ict,nsl,vkl_ict
2024-09-04,10:00 - 11:00,1393903.5,26884.5,49.96308333333334,458.9166666666667,4811.333333333333,12909.5,1297.5833333333333,267.5833333333333,360.5833333333333,3174.75,0.0,5186.956624333333,0.9166666666666666,547.5,370.5,-422.0,-3.5,230.5,180.66666666666666,0.0,0.0,425.6666666666667,331.6666666666667,1397.0,119.83333333333333
2024-09-04,11:00 - 12:00,1393915.5,26483.166666666668,49.973499583333336,459.0833333333333,4815.833333333333,12816.166666666666,1260.1666666666667,129.66666666666666,349.1666666666667,3166.75,0.0,5410.984944583333,2.3333333333333335,592.25,166.83333333333334,-333.8333333333333,-7.5,210.75,227.5,0.0,0.0,417.4166666666667,320.0,1397.0,152.25
2024-09-04,12:00 - 13:00,1393927.5,27421.833333333332,49.970999750000004,459.0,4816.583333333333,12977.583333333334,1307.9166666666667,110.25,359.0,3158.5,0.0,5195.158284583334,1.3333333333333333,599.25,487.75,-318.1666666666667,0.0,527.3333333333334,180.75,0.0,0.0,563.25,459.8333333333333,1397.0,16.5
2024-09-04,13:00 - 14:00,1393939.5,27048.0,49.94608374999999,459.1666666666667,4824.25,13011.333333333334,1191.75,30.666666666666668,367.25,3177.9166666666665,0.0,4800.04500325,2.0,833.1666666666666,-116.91666666666667,-102.0,18.166666666666668,402.6666666666667,140.66666666666666,0.0,0.0,558.0,528.0833333333334,1397.0,73.41666666666667
2024-09-04,14:00 - 15:00,1393951.5,27609.5,49.99750016666667,711.4166666666666,4817.083333333333,13375.583333333334,1025.25,0.0,370.25,3162.4166666666665,0.0,4256.018371666666,2.5,947.75,-374.0,125.5,6.25,284.4166666666667,154.25,0.0,0.0,766.25,456.8333333333333,1397.0,-94.25
2024-09-04,15:00 - 16:00,1393963.5,29482.25,49.98733291666667,859.75,4811.5,14443.083333333334,973.3333333333334,200.75,416.5,3080.75,0.0,3429.806681416667,0.5,1004.9166666666666,-727.0,1.1666666666666667,120.16666666666667,-17.75,381.3333333333333,0.0,0.0,927.4166666666666,862.25,1397.0,-513.0
2024-09-04,16:00 - 17:00,1393975.5,31742.166666666668,49.99908316666667,859.3333333333334,4808.166666666667,15687.333333333334,1149.0833333333333,412.8333333333333,612.0,3098.5833333333335,0.0,2499.2849935,121.58333333333333,1010.8333333333334,-1011.5,0.0,119.5,-336.6666666666667,769.0,0.0,0.0,977.5833333333334,719.3333333333334,1397.0,-917.8333333333334
2024-09-04,17:00 - 18:00,1393987.5,32827.666666666664,49.99700041666667,771.25,4804.083333333333,15223.666666666666,1262.3333333333333,930.9166666666666,696.0,3124.4166666666665,0.0,1401.2783610833333,100.41666666666667,1929.75,-898.0,0.0,27.916666666666668,-712.0,1046.0,0.0,0.0,991.3333333333334,522.5833333333334,1397.0,-957.0
2024-09-04,18:00 - 19:00,1393999.5,32771.833333333336,50.01141608333333,818.1666666666666,4801.75,14873.75,1561.9166666666667,477.0,712.5833333333334,3149.6666666666665,0.0,421.5054995,53.166666666666664,2009.8333333333333,-526.0,-55.0,-16.0,-837.0,686.6666666666666,0.0,0.0,987.4166666666666,956.1666666666666,1397.0,-255.0
2024-09-04,19:00 - 20:00,1394011.5,31294.083333333332,50.020917,853.1666666666666,4808.583333333333,15563.416666666666,1911.5833333333333,310.1666666666667,661.0,3157.8333333333335,0.0,14.569750583333333,31.916666666666668,1257.3333333333333,-125.0,-315.0,4.833333333333333,-421.0,337.5833333333333,0.0,0.0,520.4166666666666,444.75,1397.0,34.5
2024-09-04,20:00 - 21:00,1394023.5,29875.916666666668,50.04841675,551.6666666666666,4810.833333333333,14654.333333333334,2575.6666666666665,0.0,581.6666666666666,3168.5833333333335,0.0,0.0,32.083333333333336,1127.3333333333333,-295.0,-364.8333333333333,-99.33333333333333,-46.5,205.58333333333334,0.0,0.0,499.0,266.5833333333333,1397.0,-108.33333333333333
2024-09-04,21:00 - 22:00,1394035.5,26475.916666666668,50.00266675,5.0,4813.416666666667,11843.416666666666,3122.9166666666665,0.0,510.1666666666667,3035.8333333333335,0.0,0.0,31.333333333333332,797.5,-672.0,-256.0,-228.0,-33.666666666666664,190.16666666666666,0.0,0.0,286.75,166.75,1397.0833333333333,-10.0
2024-09-04,22:00 - 23:00,1394047.5,23046.833333333332,50.008999749999994,0.0,4816.916666666667,6564.583333333333,3614.9166666666665,12.5,476.1666666666667,2423.8333333333335,0.0,0.0,31.0,1405.5833333333333,-370.1666666666667,-215.0,-21.666666666666668,172.83333333333334,209.83333333333334,0.0,0.0,729.0,523.3333333333334,1397.9166666666667,665.9166666666666
2024-09-04,23:00 - 00:00,1394059.5,21078.666666666668,49.99850025,0.0,4811.75,4027.0,3688.1666666666665,12.666666666666666,365.5,2296.3333333333335,0.0,0.0,12.5,1646.6666666666667,-69.0,-27.0,0.0,406.25,177.66666666666666,0.0,0.0,711.9166666666666,725.75,1398.75,788.5
2024-09-05,00:00 - 01:00,1394071.5,21314.5,50.0523335,0.0,4816.166666666667,3702.25,4305.75,0.0,346.0,2338.9166666666665,0.0,0.0,0.0,1724.25,-259.0,-180.0,0.0,411.4166666666667,116.0,0.0,0.0,700.3333333333334,550.6666666666666,1399.0,903.75
2024-09-05,01:00 - 02:00,1394083.5,21630.416666666668,50.000916749999995,0.0,4808.25,3416.0,5063.833333333333,0.0,386.4166666666667,2221.4166666666665,0.0,0.0,0.25,1762.75,-695.0,-335.3333333333333,0.0,368.25,115.91666666666667,0.0,0.0,688.6666666666666,506.3333333333333,1398.6666666666667,914.0
2024-09-05,02:00 - 03:00,1394095.5,21687.833333333332,50.00166683333333,0.0,4806.083333333333,3474.5833333333335,5415.333333333333,0.0,363.0,2306.4166666666665,0.0,0.0,0.25,1647.0833333333333,-929.8333333333334,-368.0,-113.33333333333333,92.58333333333333,124.91666666666667,0.0,0.0,674.3333333333334,654.4166666666666,1398.9166666666667,729.9166666666666
2024-09-05,03:00 - 04:00,1394107.5,21708.666666666668,50.029250499999996,0.0,4818.083333333333,3248.6666666666665,5791.833333333333,0.0,385.3333333333333,2514.8333333333335,0.0,0.0,0.3333333333333333,1326.3333333333333,-1047.0,-368.0,-205.0,-75.33333333333333,115.25,0.0,0.0,576.6666666666666,622.3333333333334,1398.5,907.8333333333334
2024-09-05,04:00 - 05:00,1394119.5,22244.416666666668,50.028833416666664,0.0,4816.0,3102.5833333333335,6834.666666666667,0.0,385.9166666666667,2337.9166666666665,0.0,0.0,0.16666666666666666,1421.1666666666667,-1033.0,-369.0,-150.83333333333334,-269.6666666666667,114.83333333333333,0.0,0.0,529.5833333333334,590.5833333333334,1397.8333333333333,718.6666666666666
2024-09-05,05:00 - 06:00,1394131.5,23930.166666666668,49.923083166666665,0.0,4813.666666666667,3557.1666666666665,7176.833333333333,0.0,455.75,2451.9166666666665,0.0,2.0666666666666666e-05,0.6666666666666666,1684.0,-1000.0,-371.0,-42.0,-213.0,294.6666666666667,0.0,0.0,476.5833333333333,612.5,1397.0833333333333,1009.3333333333334
